asset_clas,location_d,asset_cd,maintained,steward,maint_info,life_cycle,mgmt_num,asset_type,material,priority,who_remove,seg_label,comments,trans_cana,greenway,operationa,Shape_Length
,,,OUTSIDE AGENCY,OUTSIDE AGENCY,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,51.906116445236137
,,,OUTSIDE AGENCY,OUTSIDE AGENCY,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,21.343309100163786
,,ST1019,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,53.344379332820779
,,ST1019,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,484.207961471406634
,,ST1019,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,9.964286270587991
,,HOU605,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,146.550426283912401
,,NHV672,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,CONCRETE,,,,,NO,NO,OPEN,39.105535780775611
,,,OUTSIDE AGENCY,OUTSIDE AGENCY,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,113.641099665683484
,,FPE204,PROVINCE OF ALBERTA,PROVINCE OF ALBERTA,FISH CREEK PARK,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,64.907197524789439
,,FPE209,PROVINCE OF ALBERTA,PROVINCE OF ALBERTA,FISH CREEK PARK,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,YES,YES,OPEN,47.643540547969288
,,HOU605,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,1.692074141776723
,,HAM137,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,47.374567676672655
,,HOU605,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,48.634723026330910
,,CHA837,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,53.127019095083014
,,HAM678,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,33.807454044069047
,,HAM137,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,61.169609894092318
,,LEG302,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,90.933346301401969
,,VAR456,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,149.328672462977863
,,TAR002,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,36.143659527845358
,,EVE954,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,81.600964735170280
,,ALB627,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,34.191073933558094
,,CRA100,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,84.240519143024059
DISCOVERED ASSET,,WIL009,CALGARY PARKS SHARED,CALGARY PARKS,ACCESS AGREEMENT REQUIRED,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,29.154841450488640
,,ALB824,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,125.563701674369057
,,CRA131,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,98.094061957632064
,,AUB100,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,99.634914812697403
,,AUB201,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,83.307675109814511
,,AUB201,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,82.975597118474624
,,HIL557,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,INTERLOCKING BRICK,,,,,NO,NO,OPEN,27.847399135025331
IGNORE ERROR: UNDER ROADS OBLIGATION-OFFSITE 3.0M,,CNS020,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,110.819404933048219
,,CPF852,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,15.138156184372626
,,,OUTSIDE AGENCY,OUTSIDE AGENCY,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,25.846974612899590
,,HIL557,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,INTERLOCKING BRICK,,,,,NO,NO,OPEN,4.800243998087272
,,HIL056,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,4.282199213610607
,,CPF852,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,83.976636084411155
2017/12/11: AS PER J ROZEMA-STINSON AQUISITION=PURCHASED,,DDG003,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,105.677095848798785
,,EVE805,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,14.494221029998620
,,EVE097,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,6.023550563038349
,,EVE097,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,10.732569631217697
CONFIRM LEASED WITH CPB,,SDC620,LEASE HOLDER,CALGARY PARKS,PARCEL FENCED OFF,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,88.998060307261042
,,SVO004,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,98.994341319069605
,,SVO004,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,38.601845503244313
,,CAR005,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,YES,OPEN,134.194064186905706
,,CAR005,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,YES,OPEN,133.658416208179091
,,MID370,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,15.623601875326065
,,SDC476,CALGARY PARKS,CALGARY PARKS,DRIVEWAYS CUT ACROSS IN 2005,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,51.123838456153251
,,MID370,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,7.184092431023720
,,CRA023,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,13.318919706310620
,,PAN060,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,21.920627781021889
,,PAN060,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,22.377027564209818
TI PROJECT,,SHI208,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,74.466632463209251
,,AUB101,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,21.958469370234745
,,RIV848,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,112.256697977305620
TI PROJECT,,SHI208,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,74.765044777434341
,,RIV848,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,81.917303463663444
,,RIV848,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,81.590220022917137
,,RIV848,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,81.590245815177482
,,TEM056,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,22.200471719946513
,,DOV030,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,12.129366032008120
,,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,89.494912845319888
,,NOL022,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,89.494905794819957
,,NOL022,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,89.137688789354215
,,SPR049,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,21.587738427813559
,,ABP799,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,87.054467128600109
CAPITAL PROJECT - PARKS,,BOW220,CALGARY PARKS,CALGARY PARKS,2015/09/20: ALIGNED AS PER 2012 LAYOUT PLAN,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,75.697311930416447
,,DBC097,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,45.979433115013350
,,DBC097,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,38.674669473462970
,,DBC097,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,41.348851795983933
,,DBC097,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,60.878825960068092
,,DBC097,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,11.421428677946542
TI OR ROADS PROJECT,,ACA678,CALGARY PARKS,CALGARY PARKS,LIVEABLE STREETS PROJECT,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,84.131054069250425
,,MCK628,CALGARY PARKS SHARED,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,5.189834686837393
,,BRD099,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,YES,NO,OPEN,21.963268187403958
TI OR ROADS PROJECT,,ACA678,CALGARY PARKS,CALGARY PARKS,LIVEABLE STREETS PROJECT,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,54.412946116299842
TI OR ROADS PROJECT,,ACA678,CALGARY PARKS,CALGARY PARKS,LIVEABLE STREETS PROJECT,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,45.505326814321400
TI OR ROADS PROJECT,,ACA678,CALGARY PARKS,CALGARY PARKS,LIVEABLE STREETS PROJECT,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,74.698608130614701
TI OR ROADS PROJECT,,ACA678,CALGARY PARKS,CALGARY PARKS,LIVEABLE STREETS PROJECT,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,13.626287064716950
TI OR ROADS PROJECT,,ACA678,CALGARY PARKS,CALGARY PARKS,LIVEABLE STREETS PROJECT,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,10.946730939414712
