asset_cd,asset_type,created_dt,life_cycle,location_d,maintained,modified_d,name,steward,wam_id,Shape_Length,Shape_Area
PAN043,NATURAL CREEK OR STREAM,2009-09-09,ACTIVE,,CALGARY PARKS,,BEDDINGTON CREEK,CALGARY PARKS,N-30000120,1008.092018243143116,1196.289333247831792
SET004,WETLAND,2017-01-18,ACTIVE,,CALGARY PARKS SHARED,2017-01-18,145WPA,CALGARY WATER,N-51194328,274.844876032862089,2904.049682711100559
HID241,NATURAL CREEK OR STREAM,2009-09-09,ACTIVE,BETWEEN COUNTRY HILLS BV AND HIDDEN CREEK DR NW,CALGARY PARKS,2011-04-25,WEST NOSE CREEK,CALGARY PARKS,N-30000067,5311.946413095327443,7947.665669236537724
MCI091,NATURAL POND,2009-09-09,ACTIVE,MCCALL LAKE GOLF COURSE,CALGARY PARKS,,,CALGARY RECREATION,N-30000057,361.868403877880382,5035.866706055825489
ST2001,WETLAND,2009-09-09,ACTIVE,19 FREEPORT WY NE,CALGARY PARKS,,61WPA FREEPORT BUSINESS PARK,CALGARY PARKS,N-30000081,313.367211121195453,4603.324234266833628
WIN800,NATURAL CREEK OR STREAM,2009-09-09,ACTIVE,CALGARY ELKS LODGE AND GOLF COURSE,CALGARY PARKS,2012-12-13,NOSE CREEK,CALGARY PARKS,N-30000048,4154.352024339184027,27254.196650097503152
EVN273,NATURAL POND,2009-09-09,ACTIVE,109 EVANSTON WY NW,CALGARY PARKS SHARED,2012-11-15,112WPA EVANSTON,CALGARY PARKS SHARED,N-30000034,190.120512382383140,2575.884435764934096
MCI091,NATURAL POND,2009-09-09,ACTIVE,MCCALL LAKE GOLF COURSE,CALGARY PARKS,,,CALGARY RECREATION,N-30000055,563.740405988191696,5565.884361909663312
RIV840,NATURAL LAKE,2009-09-09,ACTIVE,,CALGARY PARKS,2013-12-09,CARBURN LAGOON,CALGARY PARKS,N-30000013,765.668379811161685,12678.238325375052227
WIN800,NATURAL POND,2009-09-09,ACTIVE,CALGARY ELKS LODGE AND GOLF COURSE,CALGARY PARKS,2012-12-13,,CALGARY PARKS,N-30000062,337.802930774050935,2992.596347878302822
ROC401,NATURAL POND,2009-09-09,INSTALLED,33 ROCKY RIDGE CR NW,DEVELOPER CONSTRUCTION,2016-12-20,76WPA POND C,CALGARY PARKS,N-30000029,331.512852205856007,4664.254095141664038
ING037,WETLAND,2009-09-09,ACTIVE,PEARCE ESTATES,CALGARY PARKS,2013-12-18,PEARCE ESTATES,CALGARY PARKS,N-30000110,445.605173634235825,6218.974547488379358
ASP505,WETLAND,2009-09-09,ACTIVE,ALPEN STONE BV SW,CALGARY PARKS SHARED,2019-08-29,88WPA ASPEN WOODS,CALGARY WATER,N-30000012,683.419232140508257,22689.984011617416400
BOW220,NATURAL RIVER,2009-09-09,ACTIVE,,CALGARY PARKS,2019-04-23,BOWNESS LAGOON,CALGARY PARKS,N-30000125,1578.518540237409752,27374.997758721176069
NPK454,NATURAL POND,2009-09-09,ACTIVE,,CALGARY PARKS,,,CALGARY PARKS,N-30000004,337.737166145719982,3012.657507044877093
ROC204,NATURAL POND,2009-09-09,INSTALLED,71 ROCKYVALE DR NW,DEVELOPER CONSTRUCTION,2017-11-01,81WLA ROCKY RIDGE,CALGARY WATER,N-30000030,756.848499785614194,15122.875920144459087
CPF852,WETLAND,2009-09-09,ACTIVE,,CALGARY PARKS,2010-09-27,54WPA COPPERFIELD 1,CALGARY PARKS,N-30000044,673.938054131972535,8362.941130683471783
ACA194,NATURAL POND,2009-09-09,ACTIVE,W SIDE OF DEERFOOT TR; N OF SOUTHLAND DR,CALGARY PARKS,,,CALGARY ROADS,N-30000032,600.645733558674465,6977.223432529081947
EVN260,NATURAL POND,2009-12-04,ACTIVE,,CALGARY PARKS SHARED,2011-11-23,104WPA,CALGARY PARKS,N-50721279,344.181692858272811,7575.864478845144731
SAD341,WETLAND,2009-09-09,ACTIVE,,CALGARY PARKS,2011-06-08,28WLA - SADDLE RIDGE,CALGARY PARKS,N-30000114,1730.680600512652518,33828.325185179317486
ASP516,WETLAND,2009-09-09,ACTIVE,17 AV AND 85 ST SW,CALGARY PARKS SHARED,2019-01-14,89WPA ASPEN WOODS,CALGARY WATER,N-30000099,258.123814089078905,3998.906479166507324
TUS633,NATURAL POND,2009-09-09,ACTIVE,BH TUSCANY VALLEY PL NW,CALGARY PARKS,,75WPA NORTH TUSCANY,CALGARY PARKS,N-30000018,133.510467205891217,840.544789188306595
ROY388,NATURAL POND,2009-09-09,ACTIVE,,CALGARY PARKS SHARED,2013-02-14,51 WLA ROYAL OAK,CALGARY PARKS,N-30000085,446.873077577828610,10417.645047859457918
OGD792,NATURAL CREEK OR STREAM,2009-09-09,ACTIVE,,CALGARY PARKS,2013-12-18,,CALGARY PARKS,N-30000006,1004.953766209708760,6032.578087991709253
ASP516,WETLAND,2009-09-09,ACTIVE,17 AV AND 85 ST SW,CALGARY PARKS SHARED,2019-01-14,89WPA ASPEN WOODS,CALGARY WATER,N-30000101,150.051160334563264,1486.781530118513047
HAR399,WETLAND,2020-01-13,INSTALLED,,DEVELOPER CONSTRUCTION,2020-01-13,,CALGARY WATER,N-51342961,495.870106745517319,10184.657307808845871
ROC403,NATURAL POND,2009-09-09,ACTIVE,,CALGARY PARKS,,19WLA ROCKY RIDGE,CALGARY PARKS,N-30000083,407.276655249531530,10507.562658967201060
ING037,WETLAND,2009-09-09,ACTIVE,PEARCE ESTATES,CALGARY PARKS,2013-12-18,PEARCE ESTATES,PROVINCE OF ALBERTA,N-30000107,109.421325696190465,302.508587696836059
