Park_Quality_Index,site_name,Park_Type,Shape_Area,Park_Area_Log,Park_Area_MIN_MAX,Sports_Surface_Count,Sports_Log,Sports_MIN_MAX,Combined_Amenities_Count,Combined_Amenities_Count_Log,Combined_Amenities_MIN_MAX,Transit_Stop_Count_350m,Transit_Score,Water_Body_Count,Water_Body_Score,Path_Count_NonZero,Park_Path_Length,Pathway_Score
0.2323529,,SUBNEIGHBOURHOOD PARK,20460.954426700016484,4.310947113061055,0.323528467695768,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,10,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2321927,,SUBNEIGHBOURHOOD PARK,20157.533479117362731,4.304458934266867,0.321926539320306,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,6,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2318514,,SUBNEIGHBOURHOOD PARK,1497.827419122810170,3.175751629354249,0.043249222204734,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,4,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2317897,,SUBNEIGHBOURHOOD PARK,19414.087331730432197,4.288139348402711,0.317897241037868,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,7,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2316833,,SUBNEIGHBOURHOOD PARK,1474.499988785715232,3.168939210535198,0.041567239115497,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,13,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2315765,,SUBNEIGHBOURHOOD PARK,1459.887850145846869,3.164616877171602,0.040500056985814,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,2,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2313873,,SUBNEIGHBOURHOOD PARK,1434.331623746772493,3.156952253491133,0.038607664906240,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,8,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2313556,,SUBNEIGHBOURHOOD PARK,1430.098677880210062,3.155669580497259,0.038290973530971,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,4,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2313505,,SUBNEIGHBOURHOOD PARK,1429.418155650897233,3.155463013790321,0.038239972305548,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,10,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2312504,,SUBNEIGHBOURHOOD PARK,1416.123771705652189,3.151407783219444,0.037238737733167,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,4,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2312470,,SUBNEIGHBOURHOOD PARK,1415.679588029607203,3.151271636496083,0.037205123169466,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,5,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2312028,,SUBNEIGHBOURHOOD PARK,1409.841481678168975,3.149478220345525,0.036762329542514,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,4,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2309987,,SUBNEIGHBOURHOOD PARK,18033.285310371367814,4.256098936124184,0.309986477907166,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,10,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2309684,,SUBNEIGHBOURHOOD PARK,1379.337051613102858,3.139985145664057,0.034418493747446,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,2,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2309574,,SUBNEIGHBOURHOOD PARK,1377.927214202570212,3.139541342822377,0.034308919028908,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,3,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2309540,,SUBNEIGHBOURHOOD PARK,17958.302290383166110,4.254289460542733,0.309539719214075,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,19,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2309024,,SUBNEIGHBOURHOOD PARK,1370.876237880552253,3.137314933797897,0.033759219659511,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,8,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2308380,,SUBNEIGHBOURHOOD PARK,1362.658316179825533,3.134705565344739,0.033114967782406,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,5,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2307509,,SUBNEIGHBOURHOOD PARK,1351.628513545870646,3.131178538157422,0.032244146383735,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,4,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2307295,01B GREENWAY,REGIONAL PARK,17586.289356062246952,4.245198908904912,0.307295266174299,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0.0000000,0,0.0000000,4.0000000,103.9963379,1.0000000
0.2306725,,SUBNEIGHBOURHOOD PARK,1341.771874694135704,3.128002236066397,0.031459918850854,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,6,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2306308,,SUBNEIGHBOURHOOD PARK,1336.554738401131544,3.126311564225315,0.031042492746899,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,6,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2305115,,SUBNEIGHBOURHOOD PARK,1321.754496639574427,3.121479246569572,0.029849395728840,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,2,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2304838,,SUBNEIGHBOURHOOD PARK,1318.348318369816070,3.120359467855387,0.029572922876690,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,11,1.0000000,0,0.0000000,0.0000000,,0.0000000
