teleride_n,stop_name,status,date_creat,time_creat,date_mod_d,time_mod_d,globalid
2603.000000000000000,WB Symons Valy Pkwy (128 Ave) @ Symons Valy Rd NW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,6bc6129f-5faf-488f-9c29-1bfcfcdf1b43
7598.000000000000000,WB 40 AV NW @ Harvard ST,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,a2b2c2d8-6c13-4530-882b-c4f6eda604d6
3388.000000000000000,9th Avenue SE Station (WB),ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,0f65cfde-be72-49a3-b687-997b5e92f109
6155.000000000000000,WB Abbeydale DR @ Abbotsford DR NE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,a4ab8410-b8ad-4c81-9e03-cd320108a57b
9018.000000000000000,NB 4 ST NE @ Hunterhorn GA,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,fe0ef3e8-d118-4e8c-9258-08b87b1211fc
3904.000000000000000,EB Quarry Park BV @ 18 ST SE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,2714b2a7-efaf-4eb2-be32-ff2c9e721b26
7918.000000000000000,EB 17 AV SW @ 14 ST SW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,ab6bcbec-a66f-4e8f-bb1f-639716a56445
3634.000000000000000,WB Shaganappi Point CTrain Station,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,68060caa-a583-4486-8077-74433911bdb3
7530.000000000000000,SB McCall WY @ George Craig BV NE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,1fa5dcd9-7714-418e-974d-5aa00378fe40
4514.000000000000000,WB Panatella BV @ Panora GA NW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,c938619a-b37b-4a5d-94d8-8054d2042e7c
7425.000000000000000,WB 20 AV NW @ 18 ST NW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,46b07b73-0923-42dc-8898-c218b26b7547
9136.000000000000000,WB Crestmont BV @ Cresthaven PL SW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,95126c3b-4642-4b46-a8c3-0d7b2b696fb6
8539.000000000000000,EB 17 AV SW @ 33 ST SW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,0993b32b-6a0d-4090-b3fa-a89c23b9ca84
7707.000000000000000,Hamptons Bus Terminal WB,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,9c87e791-9dca-4a6e-8343-f52b681c06cb
6140.000000000000000,WB Northmount DR @ 19 ST NW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,d5f5fd93-df92-4118-8640-84d19067be7b
7378.000000000000000,WB MacEwan DR @ MacEwan Valley GA NW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,25070fc1-1373-4c31-a93d-06bc78ab8805
8810.000000000000000,WB Bowness RD @ 70 ST NW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,bf8b3275-369f-4bb0-8cc2-d7e4f70f3737
6342.000000000000000,Chinook LRT Station WB,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,020f2e70-ff17-499f-ba54-62dcf9bdfb88
4554.000000000000000,SB Southport RD @ 99 AV SW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,3197874e-9857-48b8-8d7e-b391288bf412
4163.000000000000000,SB McKenzie Lake BV @ McKenzie Meadows DR SE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,60b8f271-81d5-4ca0-aae8-de703f125c7f
6666.000000000000000,NB Centre ST N @ 8 AV N,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,db504fc2-5117-4f81-b61b-25f7a380b95d
6318.000000000000000,EB Rivervalley DR @ 18 ST SE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,682e5871-4a97-4ecf-8053-1f91c64acf07
5930.000000000000000,EB Varsity DR @ 53 ST NW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,4c22d668-f5e7-405f-8ac1-9c39cc15d026
4883.000000000000000,NB 4 ST NW @ 53 AV NW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,c53ccfe3-dc0c-4e87-9a6c-1245a5df7687
3756.000000000000000,Heritage LRT Station,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,cb3311a3-3e95-4874-ad7b-4d251c08271a
2797.000000000000000,Saddletowne Circle Station (NB),ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,a18a894f-7ad6-4a14-96cb-940b3e962b32
5622.000000000000000,SB 14 ST SW @ 6 AV SW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,2a4e3edb-6f2e-4f76-88ad-badcda6f5f24
7225.000000000000000,EB Hawkstone DR @ Hawkmount HT NW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,8c8960b5-6f30-47c8-836c-622ceb56ddc7
2515.000000000000000,EB Westwinds DR @ 47 ST NE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,c8464099-16fe-4d27-a47f-52ac336f3630
4379.000000000000000,SB Madigan DR @ Maitland DR NE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,a9fe1b22-55ef-4933-96e5-8a635fe1053b
6159.000000000000000,WB Beddington BV @ Bedridge WY NE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,9a32fd8c-0134-4148-be62-a2cd78acef42
4940.000000000000000,NB Shawinigan DR @ Shannon DR SW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,20281296-0ee3-44c1-9556-44a1e20f0585
5038.000000000000000,WB 78 AV N @ Centre ST N,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,58254f9d-0601-4cee-b56f-d5bd9dd7112b
3633.000000000000000,EB Westbrook CTrain Station,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,aabe622a-91c1-445c-9358-b45e685c3e94
