asset_type,material,number_cou,Shape_Length,Shape_Area
SOCCER,MOWED TURF,,184.420440043407496,2024.326254671197148
SOCCER,MOWED TURF,,165.407584824407138,1619.607944992701505
DISC GOLF TEE,MOWED TURF,1,15.874800002202392,13.230423444666011
BALL DIAMOND OUTFIELD,MOWED TURF,,268.557663874591071,2734.931169003577452
DISC GOLF TEE,MOWED TURF,1,15.252099637163660,13.295190564086306
BALL DIAMOND OUTFIELD,MOWED TURF,,228.773208024987468,2488.730809980894264
SOCCER,MOWED TURF,,269.761519717707472,4014.031499511832862
DISC GOLF TEE,MOWED TURF,1,17.337045797717582,17.331495819815924
SOCCER,MOWED TURF,,238.827950612645566,3307.673703732096783
SOCCER,MOWED TURF,,341.888119592565886,7076.007343380817474
SOCCER,MOWED TURF,,240.205052182494939,3212.512831323108912
SOCCER,MOWED TURF,,195.311158458706728,2229.728588112021953
SOCCER,MOWED TURF,,186.106813288953674,2031.053121694808169
SOCCER,MOWED TURF,,239.625466299399307,3388.586288084056378
SOCCER,MOWED TURF,,185.675946234073479,2033.151890744720504
SOCCER,MOWED TURF,,189.075306577705646,2137.719070236527386
BALL DIAMOND INFIELD,MOWED TURF,,101.372496258621268,643.903853499301476
BALL DIAMOND INFIELD,MOWED TURF,,90.990723999640565,520.640905468835513
BALL DIAMOND OUTFIELD,MOWED TURF,,272.537611566861528,3176.155093006045263
SOCCER,MOWED TURF,,114.711325502902071,738.268526183234144
BALL DIAMOND OUTFIELD,MOWED TURF,,243.386286695198947,2837.532866269340502
BALL DIAMOND OUTFIELD,MOWED TURF,,193.496280246889427,1606.630982735337511
BALL DIAMOND OUTFIELD,MOWED TURF,,354.022812316702414,4309.448578704636020
BALL DIAMOND OUTFIELD,MOWED TURF,,314.423680360732419,4122.962610572993981
DISC GOLF TEE,CONCRETE,,10.188952846890317,5.272240471449199
DISC GOLF TEE,CONCRETE,,10.182835096015435,5.358303081837839
DISC GOLF TEE,CONCRETE,,10.064874313293739,6.047680649488227
DISC GOLF TEE,CONCRETE,,9.406731197913093,4.448205426675132
SOCCER,MOWED TURF,,364.672424492190203,8077.226461869599007
SOCCER,MOWED TURF,,240.058904903243558,3207.942700816993238
DISC GOLF TEE,CONCRETE,,10.524680393905779,5.907044725587193
DISC GOLF TEE,CONCRETE,,10.743862816524979,6.199171310050534
BALL DIAMOND INFIELD,RED SHALE,,111.911377008059830,882.785759018210456
BALL DIAMOND INFIELD,RED SHALE,,191.323543209770349,1984.547052231668886
BALL DIAMOND INFIELD,RED SHALE,,116.754606747451703,751.866808747192636
BALL DIAMOND INFIELD,RED SHALE,,181.332872506684936,1773.270599739691761
BALL DIAMOND INFIELD,RED SHALE,,147.920362477677173,1566.119805682768401
BALL DIAMOND BASELINE,RED SHALE,,118.214667336464856,999.344443612270425
BALL DIAMOND INFIELD,RED SHALE,,125.645222164174854,1002.499039553051489
BALL DIAMOND INFIELD,RED SHALE,,104.980626743254405,649.624615867917214
BALL DIAMOND INFIELD,RED SHALE,,123.510968880692332,949.368994466984873
BALL DIAMOND INFIELD,RED SHALE,,122.571867074236039,909.447550103081312
BALL DIAMOND BASELINE,RED SHALE,,139.940365125454406,94.976701426009271
TRACK AND FIELD,ASPHALT,,148.678360981242406,213.920796196969917
ICE AREA,CONCRETE,,148.484903089503035,1377.750611505065763
SKATE PARK,CONCRETE,,184.572725450912287,1750.574459679077790
BALL DIAMOND INFIELD,RED SHALE,,134.780654477070300,1034.886768538542128
BALL DIAMOND INFIELD,RED SHALE,,99.768745619291479,582.699141641101733
ULTIMATE FRISBEE,MOWED TURF,,278.357322677286277,4274.033740701192073
BALL DIAMOND INFIELD,RED SHALE,,114.534868436042615,979.242288349527939
SOCCER,MOWED TURF,,339.064200000837445,6976.854819926867094
BALL DIAMOND INFIELD,RED SHALE,,130.857788160085107,1192.999237531498011
BALL DIAMOND INFIELD,RED SHALE,,127.527231307145982,1149.318605939437930
BALL DIAMOND INFIELD,RED SHALE,,102.474459393100517,641.029344052160241
BALL DIAMOND INFIELD,RED SHALE,,112.615889767326053,878.335336939369768
SOCCER,MOWED TURF,,342.108259912859637,7095.504832576637455
BALL DIAMOND BASELINE,RED SHALE,,154.200111850090195,97.565563264225972
BALL DIAMOND INFIELD,RED SHALE,,129.505148034238715,1200.556424161537734
BALL DIAMOND BASELINE,RED SHALE,,180.436733192480119,157.736384649321337
BALL DIAMOND INFIELD,RED SHALE,,98.679259686328763,747.070948961317981
ULTIMATE FRISBEE,MOWED TURF,,293.496796796316346,4055.032486599043295
BALL DIAMOND INFIELD,RED SHALE,,108.191012899801564,728.166544805616127
PRACTICE AREA - WARM UP AREA,MOWED TURF,,45.574751829845205,59.181402743627324
ICE AREA,WATER LAGOON,,765.668379811161685,12678.238325375052227
SOCCER,MOWED TURF,,164.605971960736838,1451.358974349361006
SOCCER,MOWED TURF,,189.549580980024245,1852.342561077187156
SOCCER,MOWED TURF,,193.295735450449627,2304.243324403336374
SOCCER,MOWED TURF,,200.175304808399517,2096.261927110902434
SOCCER,MOWED TURF,,197.986299875489863,2198.140952105053657
SOCCER,MOWED TURF,,197.986299876349022,2198.138726424522702
SOCCER,MOWED TURF,,139.842915314334562,1046.132827483210576
SOCCER,MOWED TURF,,166.763588905356443,1569.117707044282952
SOCCER,MOWED TURF,,262.347792121415011,4068.348793947354352
SOCCER,MOWED TURF,,195.302589626264478,1698.801435195945942
BALL DIAMOND INFIELD,MOWED TURF,,118.181725992255153,599.097172147512424
BALL DIAMOND OUTFIELD,MOWED TURF,,482.553297119740819,6093.859143993007820
BALL DIAMOND OUTFIELD,MOWED TURF,,316.156459579519492,4853.236315561466654
BALL DIAMOND OUTFIELD,MOWED TURF,,352.843555008347778,4888.137494945795879
LAWN BOWLING,MOWED TURF,,153.423684349075387,1471.169426824283391
BALL DIAMOND OUTFIELD,MOWED TURF,,351.318299069652483,5755.719230544274978
SOCCER,MOWED TURF,,180.847750398871057,1619.424208221861363
SOCCER,MOWED TURF,,277.877397835196803,4729.393898078980783
FOOTBALL,MOWED TURF,,319.739822505920188,5972.260705887085351
BALL DIAMOND INFIELD,MOWED TURF,,70.376000722017679,184.888483068742204
BALL DIAMOND INFIELD,MOWED TURF,,78.675702723090808,357.722509431588662
BALL DIAMOND INFIELD,MOWED TURF,,78.638738812614577,364.922394845168867
SOCCER,MOWED TURF,,200.417999999597669,2307.099059980676884
SOCCER,MOWED TURF,,232.131521158539982,3130.285411235133779
SOCCER,MOWED TURF,,242.487675160749660,3265.207888292201460
BALL DIAMOND INFIELD,MOWED TURF,,75.515628564920661,299.126007561281256
SOCCER,MOWED TURF,,246.729717757707249,3417.194730948454890
SOCCER,MOWED TURF,,334.234058576443601,6681.753152264321216
SOCCER,MOWED TURF,,186.104000000283122,1642.866027012202721
SOCCER,MOWED TURF,,175.085695859394548,1698.691329949247574
SOCCER,MOWED TURF,,239.605106160244588,3193.971932226513673
SOCCER,MOWED TURF,,241.675830140127232,3244.722726666672770
SOCCER,MOWED TURF,,172.934342235039253,1649.073469067864835
SOCCER,MOWED TURF,,273.752233888150954,4093.641831136333622
SOCCER,MOWED TURF,,239.279220467588459,3391.932627799134025
SOCCER,MOWED TURF,,219.943788626401158,2677.549875289936153
BALL DIAMOND INFIELD,MOWED TURF,,70.017921711067629,141.336090658392635
BALL DIAMOND INFIELD,MOWED TURF,,81.855680035155103,412.382828213165567
BALL DIAMOND INFIELD,MOWED TURF,,83.853166794827644,447.716437669928951
BALL DIAMOND INFIELD,MOWED TURF,,66.740311591213995,246.417224946731181
BALL DIAMOND INFIELD,MOWED TURF,,84.220643769208124,455.596273555274877
BALL DIAMOND INFIELD,MOWED TURF,,84.180517948624512,407.958005683870454
BALL DIAMOND INFIELD,MOWED TURF,,93.250167425725380,540.360889477409501
ICE AREA,MOWED TURF,,155.626901901513719,1404.982855705615975
SOCCER,MOWED TURF,,340.184231488604667,7019.196211905813470
SOCCER,MOWED TURF,,242.620778914446475,3291.282969675215554
SOCCER,MOWED TURF,,220.916278838785502,2788.322523820633251
BALL DIAMOND INFIELD,RED SHALE,,136.759196944997626,1404.393659933199160
SOCCER,MOWED TURF,,241.219490633465142,3253.726212225651580
SOCCER,MOWED TURF,,341.571187755805795,7091.402934279278270
BALL DIAMOND INFIELD,RED SHALE,,98.634600944558898,737.615036521343768
BASKETBALL,ASPHALT,,70.112354813948727,298.256774832816689
BALL DIAMOND INFIELD,RED SHALE,,117.252954397979977,1003.285235049048424
BALL DIAMOND INFIELD,RED SHALE,,106.747062374030833,648.371491458623609
BALL DIAMOND INFIELD,RED SHALE,,115.383182930958640,908.184535223251828
BALL DIAMOND INFIELD,RED SHALE,,152.206379370448559,1775.359850131934991
BALL DIAMOND INFIELD,RED SHALE,,199.108509391664143,2236.197880147844444
BALL DIAMOND INFIELD,RED SHALE,,126.186750559969255,1083.290829242532709
SOCCER,MOWED TURF,,346.472692744874735,7311.502484572692083
BALL DIAMOND INFIELD,RED SHALE,,102.422445270169845,779.232073056748277
BALL DIAMOND INFIELD,RED SHALE,,108.808609380359158,851.940608416858936
BASKETBALL,ASPHALT,1,35.675556498862591,75.527595616109849
SOCCER,MOWED TURF,,324.897073160441380,6400.348429997434323
SOCCER,MOWED TURF,,320.641039728999431,6012.157251324645586
SOCCER,MOWED TURF,,244.286947270673238,3663.659248991390541
SOCCER,MOWED TURF,,240.469923993451857,3199.087370682062101
BALL DIAMOND INFIELD,RED SHALE,,135.256282542542863,743.115306707115451
SOCCER,MOWED TURF,,168.078206387196076,1687.367571838015465
BALL DIAMOND BASELINE,RED SHALE,,169.393421831920733,349.810848658678992
BALL DIAMOND INFIELD,RED SHALE,,108.614847526052088,630.364276710653371
TRACK AND FIELD,RED SHALE,,921.941931987223711,5306.603615127211015
BALL DIAMOND BASELINE,RED SHALE,,136.511032478207738,114.140012098431868
BALL DIAMOND INFIELD,RED SHALE,,129.744582136817030,1212.430235399388494
PRACTICE AREA - WARM UP AREA,ASPHALT,,53.872925327331046,178.006518408582309
BALL DIAMOND BASELINE,RED SHALE,,157.817705044346297,106.661885599852496
SOCCER,MOWED TURF,,315.853094459736326,6133.419409299545805
BALL DIAMOND INFIELD,RED SHALE,,92.207881786725366,430.791861944950938
SOCCER,MOWED TURF,,225.933587434015152,2995.503531429073519
BALL DIAMOND INFIELD,RED SHALE,,135.517115874569726,1314.684511439560538
BALL DIAMOND BASELINE,RED SHALE,,138.422876830516657,77.713603567920359
SOCCER,MOWED TURF,,240.746493278224250,3221.528565515332048
BALL DIAMOND BASELINE,RED SHALE,,180.355169531499683,186.036487449509991
BALL DIAMOND INFIELD,MOWED TURF,,68.441655287464258,267.282349841752193
SOCCER,MOWED TURF,,190.865810574189624,2189.687468906319737
BALL DIAMOND INFIELD,MOWED TURF,,60.882254530836583,237.050975905511478
SOCCER,MOWED TURF,,239.117905477765817,3179.370874576603910
BALL DIAMOND INFIELD,MOWED TURF,,76.621115794983368,370.886720603478921
BALL DIAMOND INFIELD,MOWED TURF,,82.989090666842642,215.748744501228373
